Time,X_pos_Lat,X_pos_Lon,Y_pos_m,Z_pos_m,vx_ms,vy_ms,vz_ms,Roll_rad,Pitch_rad,Yaw_rad,Hundimiento_Izq_mm,Hundimiento_Der_mm,Alineacion_Izq_mm,Alineacion_Der_mm
0.0,19.442593,-99.172165,2240.3423,0.0,0.003567444,0.01982858,15.008946,-0.0003538536437676474,0.0123922555,-0.0006221981,7.850420000113502,8.358200000113527,-2.0719308,2.0719308
0.1,19.442421,-99.172646,2240.3394,1.5006556,0.0045479904,0.021072723,15.006556,-0.0004980626765858205,0.014303424,-0.00011944983,10.563380000067639,11.278100000067639,-1.5396263,1.5396263
0.2,19.441359,-99.17201,2240.3428,3.0015408,0.003604735,0.019216936,15.008852,-0.0002319999958376118,0.014893482,-0.000920452,7.440720000011652,7.773640000011653,-2.62796715,2.62796715
0.3,19.441792,-99.17237,2240.3386,4.502202499999999,0.0038112598,0.021978293,15.006617,-0.00042599300559054056,0.012752042,-0.00022245759,11.50756999986686,12.118869999866831,-1.4155862,1.4155862
0.4,19.44184,-99.17219,2240.34,6.0030588,0.004217015,0.02280489,15.008563,-0.0005411497729600077,0.009043251,-0.0011790901,10.075069999763514,10.851619999763557,-2.9295204999999997,2.9295204999999997
0.5,19.44182,-99.17231,2240.3413,7.503886999999999,0.0032201628,0.021190338,15.008282,-0.00031567943202250547,0.011332407,8.11606e-05,8.915819999862492,9.368819999862467,-0.94911195,0.94911195
0.6,19.441227,-99.1724,2240.3396,9.004604099999998,0.0033313453,0.017842613,15.007171,-0.00024035539606838177,0.01389397,-0.00097417075,10.700870000117845,11.045780000117873,-2.637419,2.637419
0.7,19.441826,-99.17225,2240.3384,10.505384399999997,0.004521301,0.022990502,15.007803,-0.0005131637180211794,0.012105475,0.0005696246,11.609579999816674,12.345969999816646,-0.17267053999999998,0.17267053999999998
0.8,19.441828,-99.17236,2240.3406,12.006058599999998,0.003225566,0.021209616,15.006742,-0.0003526411003649179,0.015155307,-8.757939e-06,9.530399999914152,10.036439999914137,-1.19832005,1.19832005
0.9,19.441582,-99.17229,2240.3406,13.506840999999998,0.0043762308,0.02402062,15.007824,-0.0004737560621169522,0.012819084,-0.00023155862,9.47137999991412,10.151219999914133,-1.72080285,1.72080285
