Y_pos_m,ajuste_izquierdo_mm,ajuste_derecho_mm
2085.4245963713893,107974.34449549619,78298.62280729042
2078.125448652034,110760.54095943974,79590.4664491577
2080.7847247626864,115876.13578847845,85388.68653676806
2067.706980889207,118407.91372740942,83857.6172997701
2077.688523742147,114660.92099889016,80795.7130554305
2089.8239953302946,110197.21828699988,79206.462194441
2087.9001112802907,104944.04005664856,77445.00769715598
2096.4260412757394,100510.81083448385,73866.06547894748
2100.843306693586,103162.56626451005,70103.98199132107
2091.3342425190253,105018.87268333559,71412.82101779743
2086.1092542541355,110844.08975009549,77225.55884539399
2084.255818201711,107692.54627403965,78962.47548520108
2088.5737438989827,112745.53020769022,77437.7686785109
2076.66739039627,111142.83246158714,82835.0848103284
2086.584520059224,111174.97232109771,77500.13520563206
2075.717794655553,112056.43833061814,80088.70842103742
2091.6343967870866,103227.07995953904,74226.43194708777
2094.566787820678,97134.73086714129,69413.55184460475
2089.783904689362,101289.60651385805,69559.6940913526
2086.1772739002813,115611.17466214346,81167.9115660639
2066.0108955623755,122428.37306803532,88761.26302879691
2073.2928220560184,117077.12516093839,85785.70042804642
2080.985298137503,109603.72191447625,79224.89523069792
2079.5249958193726,109569.90661212699,76073.18254733439
2086.1136224718157,105480.37995135535,75999.15320968897
2087.048968161813,104187.79995309496,74967.82811013897
2088.368303093571,113588.08200240957,83232.50067645995
2070.7110232553946,120070.06207772363,84581.50408139649
2073.4373903355727,117265.97273841804,83128.4948129877
2093.6937471297856,106724.78563672375,73945.85357188646
2106.503897301595,94916.86174317729,65661.6692930321
2109.1954959061754,99820.2915238706,71634.92994001941
2095.2635641409984,105876.65238836317,74718.75167742542
2084.1107591477594,109734.9579536964,75731.36820136246
2085.921279466333,106789.29596102111,73489.10112388196
2101.683555767114,100892.32883173953,73170.17240190085
2092.03461247236,97953.51904611188,74901.30172113175
2093.449065460335,106206.49616692649,73078.59213051313
2095.5873821996393,107413.13633796992,77173.7408032645
2083.077700162039,105407.52407118853,73969.26180041343
